id,full_name,gender,governorate,party
1815,Candidate 1815,Female,Nineveh,Unity Alliance
1816,Candidate 1816,Female,Sulaymaniyah,People First
1817,Candidate 1817,Female,Karbala,Renewal Front
1818,Candidate 1818,Female,Baghdad,People First
1819,Candidate 1819,Female,Baghdad,Renewal Front
1820,Candidate 1820,Female,Karbala,Progressive Movement
1821,Candidate 1821,Female,Dhi Qar,Progressive Movement
1822,Candidate 1822,Male,Dhi Qar,Renewal Front
1823,Candidate 1823,Male,Dhi Qar,Progressive Movement
1824,Candidate 1824,Male,Dhi Qar,People First
1825,Candidate 1825,Female,Najaf,Renewal Front
1826,Candidate 1826,Male,Karbala,Progressive Movement
1827,Candidate 1827,Male,Nineveh,People First
1828,Candidate 1828,Male,Dhi Qar,Progressive Movement
1829,Candidate 1829,Male,Sulaymaniyah,Unity Alliance
1830,Candidate 1830,Male,Nineveh,People First
1831,Candidate 1831,Male,Baghdad,People First
1832,Candidate 1832,Female,Dhi Qar,People First
1833,Candidate 1833,Female,Erbil,Progressive Movement
1834,Candidate 1834,Male,Basra,Progressive Movement
1835,Candidate 1835,Male,Baghdad,Renewal Front
1836,Candidate 1836,Female,Anbar,Renewal Front
1837,Candidate 1837,Male,Anbar,Progressive Movement
1838,Candidate 1838,Male,Baghdad,People First
1839,Candidate 1839,Male,Najaf,Progressive Movement
1840,Candidate 1840,Female,Sulaymaniyah,Progressive Movement
1841,Candidate 1841,Female,Najaf,Justice Bloc
1842,Candidate 1842,Male,Nineveh,Progressive Movement
1843,Candidate 1843,Male,Baghdad,Justice Bloc
1844,Candidate 1844,Male,Erbil,Justice Bloc
1845,Candidate 1845,Male,Karbala,Progressive Movement
1846,Candidate 1846,Male,Nineveh,Justice Bloc
1847,Candidate 1847,Female,Sulaymaniyah,Justice Bloc
1848,Candidate 1848,Male,Dhi Qar,Justice Bloc
1849,Candidate 1849,Male,Anbar,Justice Bloc
1850,Candidate 1850,Female,Dhi Qar,Renewal Front
1851,Candidate 1851,Male,Kirkuk,Unity Alliance
1852,Candidate 1852,Female,Najaf,Unity Alliance
1853,Candidate 1853,Male,Kirkuk,Renewal Front
1854,Candidate 1854,Female,Baghdad,Renewal Front
1855,Candidate 1855,Female,Kirkuk,Unity Alliance
1856,Candidate 1856,Male,Erbil,Justice Bloc
1857,Candidate 1857,Female,Erbil,People First
1858,Candidate 1858,Female,Nineveh,Justice Bloc
1859,Candidate 1859,Female,Anbar,Unity Alliance
1860,Candidate 1860,Male,Najaf,Justice Bloc
1861,Candidate 1861,Male,Kirkuk,Unity Alliance
1862,Candidate 1862,Male,Anbar,Renewal Front
1863,Candidate 1863,Male,Dhi Qar,Justice Bloc
1864,Candidate 1864,Female,Najaf,Unity Alliance
1865,Candidate 1865,Male,Najaf,Renewal Front
1866,Candidate 1866,Male,Najaf,Unity Alliance
1867,Candidate 1867,Female,Sulaymaniyah,Progressive Movement
1868,Candidate 1868,Male,Basra,Unity Alliance
1869,Candidate 1869,Female,Sulaymaniyah,Unity Alliance
1870,Candidate 1870,Female,Kirkuk,Renewal Front
1871,Candidate 1871,Male,Dhi Qar,Renewal Front
1872,Candidate 1872,Female,Baghdad,Progressive Movement
1873,Candidate 1873,Female,Anbar,Progressive Movement
1874,Candidate 1874,Male,Nineveh,Progressive Movement
1875,Candidate 1875,Male,Dhi Qar,People First
1876,Candidate 1876,Female,Najaf,People First
1877,Candidate 1877,Male,Basra,Progressive Movement
1878,Candidate 1878,Male,Baghdad,Renewal Front
1879,Candidate 1879,Female,Baghdad,Justice Bloc
1880,Candidate 1880,Female,Najaf,Renewal Front
1881,Candidate 1881,Male,Anbar,Justice Bloc
1882,Candidate 1882,Male,Karbala,Renewal Front
1883,Candidate 1883,Female,Najaf,Justice Bloc
1884,Candidate 1884,Female,Basra,Renewal Front
1885,Candidate 1885,Male,Karbala,Renewal Front
1886,Candidate 1886,Female,Anbar,Renewal Front
1887,Candidate 1887,Male,Baghdad,Progressive Movement
1888,Candidate 1888,Male,Baghdad,People First
1889,Candidate 1889,Male,Nineveh,Unity Alliance
1890,Candidate 1890,Female,Sulaymaniyah,Unity Alliance
1891,Candidate 1891,Male,Basra,Justice Bloc
1892,Candidate 1892,Male,Nineveh,People First
1893,Candidate 1893,Male,Najaf,Renewal Front
1894,Candidate 1894,Female,Baghdad,Unity Alliance
1895,Candidate 1895,Female,Sulaymaniyah,People First
1896,Candidate 1896,Female,Basra,Justice Bloc
1897,Candidate 1897,Male,Erbil,Justice Bloc
1898,Candidate 1898,Male,Basra,People First
1899,Candidate 1899,Female,Kirkuk,Justice Bloc
1900,Candidate 1900,Male,Karbala,Renewal Front
1901,Candidate 1901,Male,Basra,Renewal Front
1902,Candidate 1902,Male,Najaf,Renewal Front
1903,Candidate 1903,Female,Dhi Qar,Renewal Front
1904,Candidate 1904,Female,Erbil,Renewal Front
1905,Candidate 1905,Female,Nineveh,Renewal Front
1906,Candidate 1906,Female,Kirkuk,Justice Bloc
1907,Candidate 1907,Female,Nineveh,Renewal Front
1908,Candidate 1908,Male,Erbil,Progressive Movement
1909,Candidate 1909,Male,Basra,Unity Alliance
1910,Candidate 1910,Female,Basra,Progressive Movement
1911,Candidate 1911,Female,Dhi Qar,Unity Alliance
1912,Candidate 1912,Female,Sulaymaniyah,Renewal Front
1913,Candidate 1913,Male,Baghdad,Progressive Movement
1914,Candidate 1914,Female,Erbil,Unity Alliance
1915,Candidate 1915,Female,Erbil,Renewal Front
1916,Candidate 1916,Female,Baghdad,Unity Alliance
1917,Candidate 1917,Female,Sulaymaniyah,Justice Bloc
1918,Candidate 1918,Male,Nineveh,Progressive Movement
1919,Candidate 1919,Female,Sulaymaniyah,Justice Bloc
1920,Candidate 1920,Female,Baghdad,Progressive Movement
1921,Candidate 1921,Female,Nineveh,Justice Bloc
1922,Candidate 1922,Female,Najaf,Justice Bloc
1923,Candidate 1923,Male,Kirkuk,People First
1924,Candidate 1924,Female,Kirkuk,Renewal Front
1925,Candidate 1925,Male,Karbala,Renewal Front
1926,Candidate 1926,Female,Sulaymaniyah,Unity Alliance
1927,Candidate 1927,Male,Erbil,Unity Alliance
1928,Candidate 1928,Female,Dhi Qar,Renewal Front
1929,Candidate 1929,Male,Anbar,Renewal Front
1930,Candidate 1930,Female,Nineveh,Renewal Front
1931,Candidate 1931,Male,Erbil,People First
1932,Candidate 1932,Male,Erbil,Justice Bloc
1933,Candidate 1933,Male,Najaf,Progressive Movement
1934,Candidate 1934,Female,Najaf,People First
1935,Candidate 1935,Male,Kirkuk,People First
1936,Candidate 1936,Male,Basra,People First
1937,Candidate 1937,Male,Karbala,Unity Alliance
1938,Candidate 1938,Female,Kirkuk,Unity Alliance
1939,Candidate 1939,Female,Kirkuk,Progressive Movement
1940,Candidate 1940,Male,Sulaymaniyah,Justice Bloc
1941,Candidate 1941,Female,Sulaymaniyah,Progressive Movement
1942,Candidate 1942,Male,Kirkuk,Progressive Movement
1943,Candidate 1943,Male,Baghdad,Justice Bloc
1944,Candidate 1944,Female,Kirkuk,Unity Alliance
1945,Candidate 1945,Male,Erbil,Unity Alliance
1946,Candidate 1946,Male,Sulaymaniyah,Justice Bloc
1947,Candidate 1947,Male,Basra,Renewal Front
1948,Candidate 1948,Female,Baghdad,Renewal Front
1949,Candidate 1949,Female,Karbala,People First
1950,Candidate 1950,Male,Karbala,People First
1951,Candidate 1951,Female,Kirkuk,People First
1952,Candidate 1952,Female,Basra,People First
1953,Candidate 1953,Male,Nineveh,People First
1954,Candidate 1954,Male,Baghdad,Renewal Front
1955,Candidate 1955,Male,Karbala,Renewal Front
1956,Candidate 1956,Female,Kirkuk,People First
1957,Candidate 1957,Female,Nineveh,People First
1958,Candidate 1958,Male,Nineveh,Unity Alliance
1959,Candidate 1959,Female,Anbar,People First
1960,Candidate 1960,Female,Baghdad,Progressive Movement
1961,Candidate 1961,Male,Najaf,Unity Alliance
1962,Candidate 1962,Male,Dhi Qar,Unity Alliance
1963,Candidate 1963,Male,Dhi Qar,Justice Bloc
1964,Candidate 1964,Male,Anbar,Renewal Front
1965,Candidate 1965,Female,Anbar,People First
1966,Candidate 1966,Female,Sulaymaniyah,Progressive Movement
1967,Candidate 1967,Male,Najaf,Renewal Front
1968,Candidate 1968,Male,Basra,Justice Bloc
1969,Candidate 1969,Male,Najaf,People First
1970,Candidate 1970,Female,Najaf,Progressive Movement
1971,Candidate 1971,Male,Nineveh,Renewal Front
1972,Candidate 1972,Female,Sulaymaniyah,Justice Bloc
1973,Candidate 1973,Male,Sulaymaniyah,People First
1974,Candidate 1974,Female,Najaf,Unity Alliance
1975,Candidate 1975,Male,Najaf,Unity Alliance
1976,Candidate 1976,Female,Najaf,Justice Bloc
1977,Candidate 1977,Male,Erbil,People First
1978,Candidate 1978,Male,Kirkuk,Unity Alliance
1979,Candidate 1979,Female,Basra,People First
1980,Candidate 1980,Male,Erbil,Renewal Front
1981,Candidate 1981,Female,Dhi Qar,Renewal Front
1982,Candidate 1982,Female,Karbala,Renewal Front
1983,Candidate 1983,Male,Kirkuk,Progressive Movement
1984,Candidate 1984,Female,Dhi Qar,Unity Alliance
1985,Candidate 1985,Female,Karbala,Renewal Front
1986,Candidate 1986,Female,Dhi Qar,Renewal Front
1987,Candidate 1987,Female,Kirkuk,Progressive Movement
1988,Candidate 1988,Male,Basra,Renewal Front
1989,Candidate 1989,Female,Basra,Renewal Front
1990,Candidate 1990,Female,Sulaymaniyah,Renewal Front
1991,Candidate 1991,Male,Najaf,Progressive Movement
1992,Candidate 1992,Female,Dhi Qar,Unity Alliance
1993,Candidate 1993,Male,Anbar,Justice Bloc
1994,Candidate 1994,Female,Najaf,Unity Alliance
1995,Candidate 1995,Male,Karbala,Progressive Movement
1996,Candidate 1996,Male,Nineveh,Progressive Movement
1997,Candidate 1997,Female,Kirkuk,People First
1998,Candidate 1998,Female,Anbar,Renewal Front
1999,Candidate 1999,Female,Karbala,Progressive Movement
2000,Candidate 2000,Female,Erbil,Renewal Front
2001,Candidate 2001,Female,Dhi Qar,People First
2002,Candidate 2002,Male,Anbar,Unity Alliance
2003,Candidate 2003,Female,Nineveh,People First
2004,Candidate 2004,Male,Sulaymaniyah,Renewal Front
2005,Candidate 2005,Male,Baghdad,Renewal Front
2006,Candidate 2006,Female,Basra,People First
2007,Candidate 2007,Male,Karbala,Justice Bloc
2008,Candidate 2008,Female,Sulaymaniyah,Justice Bloc
2009,Candidate 2009,Female,Dhi Qar,Justice Bloc
2010,Candidate 2010,Male,Nineveh,Justice Bloc
2011,Candidate 2011,Male,Karbala,Renewal Front
2012,Candidate 2012,Female,Sulaymaniyah,Justice Bloc
2013,Candidate 2013,Male,Erbil,Progressive Movement
2014,Candidate 2014,Male,Baghdad,Unity Alliance
2015,Candidate 2015,Male,Nineveh,Justice Bloc
2016,Candidate 2016,Female,Nineveh,Unity Alliance
2017,Candidate 2017,Male,Dhi Qar,Justice Bloc
2018,Candidate 2018,Female,Anbar,Progressive Movement
2019,Candidate 2019,Female,Kirkuk,Justice Bloc
2020,Candidate 2020,Female,Dhi Qar,People First
2021,Candidate 2021,Male,Nineveh,Justice Bloc
2022,Candidate 2022,Male,Anbar,Justice Bloc
2023,Candidate 2023,Male,Kirkuk,People First
2024,Candidate 2024,Female,Kirkuk,Renewal Front
2025,Candidate 2025,Female,Baghdad,Unity Alliance
2026,Candidate 2026,Female,Sulaymaniyah,Unity Alliance
2027,Candidate 2027,Female,Basra,Progressive Movement
2028,Candidate 2028,Female,Najaf,Renewal Front
2029,Candidate 2029,Male,Kirkuk,Renewal Front
2030,Candidate 2030,Male,Karbala,Justice Bloc
2031,Candidate 2031,Male,Kirkuk,Renewal Front
2032,Candidate 2032,Female,Anbar,Unity Alliance
2033,Candidate 2033,Female,Kirkuk,Unity Alliance
2034,Candidate 2034,Female,Najaf,Renewal Front
2035,Candidate 2035,Female,Anbar,People First
2036,Candidate 2036,Female,Sulaymaniyah,People First
2037,Candidate 2037,Female,Nineveh,Unity Alliance
2038,Candidate 2038,Female,Anbar,People First
2039,Candidate 2039,Male,Najaf,Renewal Front
2040,Candidate 2040,Male,Anbar,Unity Alliance
2041,Candidate 2041,Female,Anbar,Unity Alliance
2042,Candidate 2042,Female,Najaf,Unity Alliance
2043,Candidate 2043,Male,Kirkuk,Unity Alliance
2044,Candidate 2044,Female,Erbil,Progressive Movement
2045,Candidate 2045,Female,Erbil,People First
2046,Candidate 2046,Male,Basra,Renewal Front
2047,Candidate 2047,Male,Anbar,Progressive Movement
2048,Candidate 2048,Female,Sulaymaniyah,Progressive Movement
2049,Candidate 2049,Female,Karbala,Justice Bloc
2050,Candidate 2050,Male,Kirkuk,Unity Alliance
2051,Candidate 2051,Female,Basra,Progressive Movement
2052,Candidate 2052,Male,Najaf,Justice Bloc
2053,Candidate 2053,Female,Karbala,Justice Bloc
2054,Candidate 2054,Male,Karbala,Renewal Front
2055,Candidate 2055,Female,Baghdad,People First
2056,Candidate 2056,Male,Baghdad,Progressive Movement
2057,Candidate 2057,Female,Dhi Qar,Justice Bloc
2058,Candidate 2058,Female,Najaf,Renewal Front
2059,Candidate 2059,Male,Dhi Qar,Justice Bloc
2060,Candidate 2060,Female,Erbil,Progressive Movement
2061,Candidate 2061,Female,Baghdad,People First
2062,Candidate 2062,Female,Dhi Qar,People First
2063,Candidate 2063,Male,Basra,Renewal Front
2064,Candidate 2064,Female,Dhi Qar,Renewal Front
2065,Candidate 2065,Female,Sulaymaniyah,People First
2066,Candidate 2066,Female,Basra,People First
2067,Candidate 2067,Female,Najaf,Progressive Movement
2068,Candidate 2068,Male,Kirkuk,People First
2069,Candidate 2069,Male,Sulaymaniyah,Renewal Front
2070,Candidate 2070,Male,Baghdad,Unity Alliance
2071,Candidate 2071,Male,Dhi Qar,Unity Alliance
2072,Candidate 2072,Male,Najaf,People First
2073,Candidate 2073,Male,Erbil,People First
2074,Candidate 2074,Male,Baghdad,Unity Alliance
2075,Candidate 2075,Male,Baghdad,Renewal Front
2076,Candidate 2076,Male,Anbar,Unity Alliance
2077,Candidate 2077,Male,Basra,Renewal Front
2078,Candidate 2078,Male,Dhi Qar,Renewal Front
2079,Candidate 2079,Male,Basra,Progressive Movement
2080,Candidate 2080,Female,Erbil,Justice Bloc
2081,Candidate 2081,Male,Najaf,People First
2082,Candidate 2082,Female,Sulaymaniyah,People First
2083,Candidate 2083,Male,Basra,People First
2084,Candidate 2084,Male,Dhi Qar,Justice Bloc
2085,Candidate 2085,Female,Baghdad,People First
2086,Candidate 2086,Female,Nineveh,Justice Bloc
2087,Candidate 2087,Male,Najaf,Progressive Movement
2088,Candidate 2088,Female,Nineveh,Justice Bloc
2089,Candidate 2089,Male,Nineveh,Renewal Front
2090,Candidate 2090,Female,Karbala,Renewal Front
2091,Candidate 2091,Male,Najaf,People First
2092,Candidate 2092,Male,Baghdad,Unity Alliance
2093,Candidate 2093,Male,Anbar,People First
2094,Candidate 2094,Female,Baghdad,Justice Bloc
2095,Candidate 2095,Male,Baghdad,Unity Alliance
2096,Candidate 2096,Female,Erbil,Progressive Movement
2097,Candidate 2097,Female,Dhi Qar,Renewal Front
2098,Candidate 2098,Male,Kirkuk,Justice Bloc
2099,Candidate 2099,Female,Dhi Qar,Justice Bloc
2100,Candidate 2100,Male,Kirkuk,Progressive Movement
2101,Candidate 2101,Male,Dhi Qar,Justice Bloc
2102,Candidate 2102,Male,Anbar,Renewal Front
2103,Candidate 2103,Female,Sulaymaniyah,People First
2104,Candidate 2104,Female,Baghdad,Unity Alliance
2105,Candidate 2105,Female,Kirkuk,People First
2106,Candidate 2106,Male,Najaf,People First
2107,Candidate 2107,Male,Nineveh,Renewal Front
2108,Candidate 2108,Male,Dhi Qar,Progressive Movement
2109,Candidate 2109,Female,Dhi Qar,Unity Alliance
2110,Candidate 2110,Female,Najaf,Unity Alliance
2111,Candidate 2111,Female,Karbala,Progressive Movement
2112,Candidate 2112,Male,Karbala,Unity Alliance
2113,Candidate 2113,Male,Najaf,Justice Bloc
2114,Candidate 2114,Male,Kirkuk,People First
2115,Candidate 2115,Female,Kirkuk,Justice Bloc
2116,Candidate 2116,Male,Baghdad,People First
2117,Candidate 2117,Male,Sulaymaniyah,Unity Alliance
2118,Candidate 2118,Female,Basra,Progressive Movement
2119,Candidate 2119,Female,Kirkuk,Progressive Movement
2120,Candidate 2120,Male,Basra,Unity Alliance
2121,Candidate 2121,Male,Najaf,Unity Alliance
2122,Candidate 2122,Female,Anbar,Unity Alliance
2123,Candidate 2123,Male,Nineveh,Unity Alliance
2124,Candidate 2124,Male,Baghdad,People First
2125,Candidate 2125,Male,Najaf,Renewal Front
2126,Candidate 2126,Male,Anbar,Unity Alliance
2127,Candidate 2127,Male,Basra,Justice Bloc
2128,Candidate 2128,Male,Basra,Progressive Movement
2129,Candidate 2129,Female,Sulaymaniyah,Justice Bloc
2130,Candidate 2130,Female,Basra,Renewal Front
2131,Candidate 2131,Male,Sulaymaniyah,Progressive Movement
2132,Candidate 2132,Male,Anbar,Progressive Movement
2133,Candidate 2133,Female,Basra,Unity Alliance
2134,Candidate 2134,Female,Nineveh,Justice Bloc
2135,Candidate 2135,Male,Sulaymaniyah,Renewal Front
2136,Candidate 2136,Male,Najaf,Progressive Movement
2137,Candidate 2137,Male,Nineveh,Unity Alliance
2138,Candidate 2138,Female,Nineveh,Unity Alliance
2139,Candidate 2139,Female,Basra,Unity Alliance
2140,Candidate 2140,Male,Nineveh,Unity Alliance
2141,Candidate 2141,Female,Dhi Qar,Justice Bloc
2142,Candidate 2142,Male,Karbala,Progressive Movement
2143,Candidate 2143,Female,Kirkuk,Justice Bloc
2144,Candidate 2144,Female,Karbala,Progressive Movement
2145,Candidate 2145,Male,Anbar,Progressive Movement
2146,Candidate 2146,Female,Anbar,Unity Alliance
2147,Candidate 2147,Female,Sulaymaniyah,Justice Bloc
2148,Candidate 2148,Male,Kirkuk,Progressive Movement
2149,Candidate 2149,Male,Basra,Renewal Front
2150,Candidate 2150,Male,Anbar,People First
2151,Candidate 2151,Male,Najaf,Progressive Movement
2152,Candidate 2152,Female,Baghdad,Progressive Movement
2153,Candidate 2153,Male,Nineveh,Justice Bloc
2154,Candidate 2154,Female,Nineveh,Progressive Movement
2155,Candidate 2155,Male,Baghdad,People First
2156,Candidate 2156,Female,Karbala,Justice Bloc
2157,Candidate 2157,Female,Sulaymaniyah,Renewal Front
2158,Candidate 2158,Female,Baghdad,Unity Alliance
2159,Candidate 2159,Male,Kirkuk,Progressive Movement
2160,Candidate 2160,Male,Baghdad,Justice Bloc
2161,Candidate 2161,Male,Basra,Progressive Movement
2162,Candidate 2162,Female,Anbar,Renewal Front
2163,Candidate 2163,Female,Dhi Qar,Progressive Movement
2164,Candidate 2164,Female,Karbala,Unity Alliance
2165,Candidate 2165,Female,Karbala,Unity Alliance
2166,Candidate 2166,Male,Dhi Qar,Progressive Movement
2167,Candidate 2167,Female,Karbala,Unity Alliance
2168,Candidate 2168,Female,Anbar,Justice Bloc
2169,Candidate 2169,Male,Dhi Qar,Progressive Movement
2170,Candidate 2170,Male,Anbar,Justice Bloc
2171,Candidate 2171,Male,Dhi Qar,People First
2172,Candidate 2172,Male,Najaf,Progressive Movement
2173,Candidate 2173,Female,Erbil,Progressive Movement
2174,Candidate 2174,Female,Nineveh,Unity Alliance
2175,Candidate 2175,Male,Erbil,Progressive Movement
2176,Candidate 2176,Male,Najaf,Justice Bloc
2177,Candidate 2177,Female,Nineveh,People First
2178,Candidate 2178,Male,Erbil,Renewal Front
2179,Candidate 2179,Male,Anbar,Progressive Movement
2180,Candidate 2180,Male,Basra,Justice Bloc
2181,Candidate 2181,Female,Karbala,Renewal Front
2182,Candidate 2182,Female,Najaf,People First
2183,Candidate 2183,Male,Dhi Qar,Progressive Movement
2184,Candidate 2184,Male,Sulaymaniyah,Justice Bloc
2185,Candidate 2185,Male,Anbar,Progressive Movement
2186,Candidate 2186,Male,Dhi Qar,Unity Alliance
2187,Candidate 2187,Male,Najaf,Renewal Front
2188,Candidate 2188,Male,Dhi Qar,Renewal Front
2189,Candidate 2189,Female,Najaf,Unity Alliance
2190,Candidate 2190,Female,Najaf,Progressive Movement
2191,Candidate 2191,Male,Kirkuk,Unity Alliance
2192,Candidate 2192,Female,Karbala,Progressive Movement
2193,Candidate 2193,Female,Erbil,Progressive Movement
2194,Candidate 2194,Male,Baghdad,Justice Bloc
2195,Candidate 2195,Female,Nineveh,Justice Bloc
2196,Candidate 2196,Male,Najaf,Justice Bloc
2197,Candidate 2197,Male,Dhi Qar,Progressive Movement
2198,Candidate 2198,Female,Najaf,Unity Alliance
2199,Candidate 2199,Male,Dhi Qar,People First
2200,Candidate 2200,Male,Erbil,Justice Bloc
2201,Candidate 2201,Female,Anbar,Renewal Front
2202,Candidate 2202,Male,Basra,Renewal Front
2203,Candidate 2203,Female,Baghdad,Renewal Front
2204,Candidate 2204,Female,Baghdad,Unity Alliance
2205,Candidate 2205,Female,Sulaymaniyah,Justice Bloc
2206,Candidate 2206,Male,Sulaymaniyah,People First
2207,Candidate 2207,Male,Kirkuk,Unity Alliance
2208,Candidate 2208,Male,Nineveh,People First
2209,Candidate 2209,Male,Kirkuk,Unity Alliance
2210,Candidate 2210,Female,Anbar,Progressive Movement
2211,Candidate 2211,Male,Sulaymaniyah,People First
2212,Candidate 2212,Female,Kirkuk,Justice Bloc
2213,Candidate 2213,Female,Baghdad,Unity Alliance
2214,Candidate 2214,Female,Sulaymaniyah,Justice Bloc
2215,Candidate 2215,Female,Kirkuk,Renewal Front
2216,Candidate 2216,Male,Najaf,Renewal Front
2217,Candidate 2217,Female,Najaf,Renewal Front
2218,Candidate 2218,Female,Basra,Progressive Movement
2219,Candidate 2219,Female,Basra,Unity Alliance
2220,Candidate 2220,Female,Nineveh,People First
2221,Candidate 2221,Male,Basra,Progressive Movement
2222,Candidate 2222,Female,Basra,Progressive Movement
2223,Candidate 2223,Female,Nineveh,Progressive Movement
2224,Candidate 2224,Male,Erbil,Justice Bloc
2225,Candidate 2225,Male,Najaf,People First
2226,Candidate 2226,Female,Najaf,Unity Alliance
2227,Candidate 2227,Female,Karbala,Unity Alliance
2228,Candidate 2228,Male,Karbala,Renewal Front
2229,Candidate 2229,Female,Dhi Qar,Renewal Front
2230,Candidate 2230,Female,Sulaymaniyah,Justice Bloc
2231,Candidate 2231,Female,Najaf,People First
2232,Candidate 2232,Male,Erbil,Progressive Movement
2233,Candidate 2233,Female,Karbala,Justice Bloc
2234,Candidate 2234,Female,Erbil,Unity Alliance
2235,Candidate 2235,Male,Sulaymaniyah,People First
2236,Candidate 2236,Female,Nineveh,Renewal Front
2237,Candidate 2237,Male,Kirkuk,People First
2238,Candidate 2238,Male,Nineveh,Progressive Movement
2239,Candidate 2239,Male,Karbala,Unity Alliance
2240,Candidate 2240,Male,Sulaymaniyah,Renewal Front
2241,Candidate 2241,Male,Najaf,People First
2242,Candidate 2242,Female,Nineveh,Progressive Movement
2243,Candidate 2243,Male,Sulaymaniyah,People First
2244,Candidate 2244,Male,Sulaymaniyah,Justice Bloc
2245,Candidate 2245,Male,Kirkuk,People First
2246,Candidate 2246,Male,Baghdad,Justice Bloc
2247,Candidate 2247,Female,Nineveh,Justice Bloc
2248,Candidate 2248,Female,Nineveh,Unity Alliance
2249,Candidate 2249,Female,Erbil,Justice Bloc
2250,Candidate 2250,Female,Anbar,Progressive Movement
2251,Candidate 2251,Female,Sulaymaniyah,Unity Alliance
2252,Candidate 2252,Female,Baghdad,Progressive Movement
2253,Candidate 2253,Male,Erbil,Unity Alliance
2254,Candidate 2254,Female,Anbar,Progressive Movement
2255,Candidate 2255,Female,Sulaymaniyah,Unity Alliance
2256,Candidate 2256,Female,Baghdad,Renewal Front
2257,Candidate 2257,Male,Anbar,Renewal Front
2258,Candidate 2258,Male,Erbil,Progressive Movement
2259,Candidate 2259,Male,Basra,Renewal Front
2260,Candidate 2260,Female,Basra,Renewal Front
2261,Candidate 2261,Female,Karbala,Justice Bloc
2262,Candidate 2262,Female,Anbar,Renewal Front
2263,Candidate 2263,Male,Sulaymaniyah,Justice Bloc
2264,Candidate 2264,Male,Dhi Qar,People First
2265,Candidate 2265,Female,Sulaymaniyah,Unity Alliance
2266,Candidate 2266,Female,Sulaymaniyah,People First
2267,Candidate 2267,Female,Najaf,Renewal Front
2268,Candidate 2268,Male,Karbala,Justice Bloc
2269,Candidate 2269,Female,Najaf,People First
2270,Candidate 2270,Male,Dhi Qar,Justice Bloc
2271,Candidate 2271,Male,Anbar,Renewal Front
2272,Candidate 2272,Male,Nineveh,Progressive Movement
2273,Candidate 2273,Female,Najaf,Renewal Front
2274,Candidate 2274,Female,Basra,Renewal Front
2275,Candidate 2275,Female,Basra,Unity Alliance
2276,Candidate 2276,Female,Erbil,Justice Bloc
2277,Candidate 2277,Male,Kirkuk,Justice Bloc
2278,Candidate 2278,Male,Karbala,Progressive Movement
2279,Candidate 2279,Female,Erbil,Renewal Front
2280,Candidate 2280,Female,Baghdad,People First
2281,Candidate 2281,Female,Najaf,Renewal Front
2282,Candidate 2282,Female,Karbala,Unity Alliance
2283,Candidate 2283,Male,Nineveh,People First
2284,Candidate 2284,Female,Najaf,Unity Alliance
2285,Candidate 2285,Female,Dhi Qar,Progressive Movement
2286,Candidate 2286,Female,Karbala,Unity Alliance
2287,Candidate 2287,Male,Erbil,Justice Bloc
2288,Candidate 2288,Male,Anbar,People First
2289,Candidate 2289,Female,Anbar,Justice Bloc
2290,Candidate 2290,Female,Najaf,Unity Alliance
2291,Candidate 2291,Female,Kirkuk,Renewal Front
2292,Candidate 2292,Male,Erbil,Progressive Movement
2293,Candidate 2293,Male,Nineveh,People First
2294,Candidate 2294,Female,Nineveh,People First
2295,Candidate 2295,Male,Baghdad,People First
2296,Candidate 2296,Female,Dhi Qar,People First
2297,Candidate 2297,Male,Erbil,People First
2298,Candidate 2298,Male,Kirkuk,Progressive Movement
2299,Candidate 2299,Male,Basra,Renewal Front
2300,Candidate 2300,Male,Kirkuk,People First
2301,Candidate 2301,Female,Erbil,People First
2302,Candidate 2302,Female,Basra,Renewal Front
2303,Candidate 2303,Female,Nineveh,Unity Alliance
2304,Candidate 2304,Male,Kirkuk,People First
2305,Candidate 2305,Female,Najaf,Justice Bloc
2306,Candidate 2306,Female,Nineveh,Unity Alliance
2307,Candidate 2307,Male,Nineveh,Renewal Front
2308,Candidate 2308,Male,Karbala,Renewal Front
2309,Candidate 2309,Male,Dhi Qar,Justice Bloc
2310,Candidate 2310,Male,Basra,Progressive Movement
2311,Candidate 2311,Male,Najaf,People First
2312,Candidate 2312,Female,Sulaymaniyah,Progressive Movement
2313,Candidate 2313,Female,Anbar,Renewal Front
2314,Candidate 2314,Female,Nineveh,People First
2315,Candidate 2315,Male,Basra,Progressive Movement
2316,Candidate 2316,Male,Nineveh,Progressive Movement
2317,Candidate 2317,Female,Nineveh,Progressive Movement
2318,Candidate 2318,Male,Basra,Justice Bloc
2319,Candidate 2319,Male,Basra,Unity Alliance
2320,Candidate 2320,Female,Dhi Qar,Unity Alliance
2321,Candidate 2321,Male,Basra,Unity Alliance
2322,Candidate 2322,Male,Najaf,Unity Alliance
2323,Candidate 2323,Female,Baghdad,Unity Alliance
2324,Candidate 2324,Female,Baghdad,Unity Alliance
2325,Candidate 2325,Male,Anbar,Progressive Movement
2326,Candidate 2326,Male,Nineveh,People First
2327,Candidate 2327,Male,Basra,Progressive Movement
2328,Candidate 2328,Female,Anbar,People First
2329,Candidate 2329,Female,Nineveh,Renewal Front
2330,Candidate 2330,Male,Kirkuk,Renewal Front
2331,Candidate 2331,Male,Basra,Renewal Front
2332,Candidate 2332,Male,Kirkuk,Progressive Movement
2333,Candidate 2333,Male,Erbil,Progressive Movement
